k,file,Silhouette_Coefficient,Calinski_Harabaz_Index,Davies_Bouldin_Index
2,accumulate_GEI_level_3,0.30074027305596485,265.2889317331402,0.8359266235380156
3,accumulate_GEI_level_3,0.3749141928362999,276.7063532540339,0.8935949593198169
4,accumulate_GEI_level_3,0.351772412181545,267.92255236323706,0.9660719169875778
5,accumulate_GEI_level_3,0.3617000444841567,295.2575572665073,1.1074796983659632
6,accumulate_GEI_level_3,0.2824590249779954,305.92224175742746,1.074627334866873
7,accumulate_GEI_level_3,0.27684682209235284,305.1751710931145,1.0530351395152093
8,accumulate_GEI_level_3,0.28436793644585573,291.2621027795435,1.036328179782086
9,accumulate_GEI_level_3,0.25765009040113074,285.5297761363701,0.9813238025550588
2,quadrantAccumulate_GEI_level_3,0.23979725286082154,125.67414119645215,0.5115793272540722
3,quadrantAccumulate_GEI_level_3,0.2742444965127855,129.89075664275927,0.7500322883049121
4,quadrantAccumulate_GEI_level_3,0.15388691107031757,132.89267511492955,0.6898031329546286
5,quadrantAccumulate_GEI_level_3,0.11737517077264131,121.85551683140831,0.6327374760097647
6,quadrantAccumulate_GEI_level_3,0.12944707305725014,116.79365432079368,0.6405298367146914
7,quadrantAccumulate_GEI_level_3,0.14408470958087308,113.33716199583644,0.6597889976202407
8,quadrantAccumulate_GEI_level_3,0.1439021128541282,109.43813191912975,0.6620243481202754
9,quadrantAccumulate_GEI_level_3,0.14889825203918663,106.16939682215946,0.7016671062587037
2,quadrantScore_GEI_level_3,0.6488760555097519,151.46774676754043,1.3906835067359251
3,quadrantScore_GEI_level_3,0.20046569235154138,125.5372195925848,0.5646775007928733
4,quadrantScore_GEI_level_3,0.21625437323088473,110.49870872850575,0.6557825725713319
5,quadrantScore_GEI_level_3,0.1155512952412259,102.8091261971397,0.5838234778980639
6,quadrantScore_GEI_level_3,0.11230705087476557,97.31037061117433,0.5637232541513627
7,quadrantScore_GEI_level_3,0.1105169804651833,90.87370395287043,0.5586401730841312
8,quadrantScore_GEI_level_3,0.11514301611008225,84.71093390724097,0.6231970962119657
9,quadrantScore_GEI_level_3,0.12439606426960989,79.6449166514778,0.562206143102759
